Species;Order;Life_Expectancy;Body_Mass;RDI;N_Death;Necropsy_Effort;Animal;Vertebrate;Invertebrate;Herptile;Mammal;Group;Occurence;Proportion;Prevalence
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Endocrine system;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Exocrine system;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Circulatory system;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;All Organs;1;NA;0.001730104
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Bone;0;0;0
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Nervous system;0;0;0
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Circulatory system;0;0;0
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Respiratory system;2;0.166666667;0.00129199
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Uro-genital system;3;0.25;0.001937984
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Diaphragm;0;0;0
